Filename,Loc,Acorde,Arquivo Original
file_1393.wav,processed_audio/,A#:min,01_SS2-88-F_comp_hex.wav
file_1394.wav,processed_audio/,D#:7,01_SS2-88-F_comp_hex.wav
file_1395.wav,processed_audio/,G#:maj,01_SS2-88-F_comp_hex.wav
file_1396.wav,processed_audio/,C#:maj,01_SS2-88-F_comp_hex.wav
file_1397.wav,processed_audio/,G:hdim7,01_SS2-88-F_comp_hex.wav
file_1398.wav,processed_audio/,C:7,01_SS2-88-F_comp_hex.wav
file_1399.wav,processed_audio/,F:min,01_SS2-88-F_comp_hex.wav
file_1400.wav,processed_audio/,A#:min,01_SS2-88-F_comp_hex.wav
file_1401.wav,processed_audio/,D#:7,01_SS2-88-F_comp_hex.wav
file_1402.wav,processed_audio/,G#:maj,01_SS2-88-F_comp_hex.wav
file_1403.wav,processed_audio/,C#:maj,01_SS2-88-F_comp_hex.wav
file_1404.wav,processed_audio/,G:hdim7,01_SS2-88-F_comp_hex.wav
file_1405.wav,processed_audio/,C:7,01_SS2-88-F_comp_hex.wav
file_1406.wav,processed_audio/,F:min,01_SS2-88-F_comp_hex.wav
file_2487.wav,processed_audio/,D:maj,05_Jazz1-130-D_comp_hex.wav
file_2488.wav,processed_audio/,G:maj,05_Jazz1-130-D_comp_hex.wav
file_2489.wav,processed_audio/,D:maj,05_Jazz1-130-D_comp_hex.wav
file_2490.wav,processed_audio/,A:maj,05_Jazz1-130-D_comp_hex.wav
file_2491.wav,processed_audio/,G:maj,05_Jazz1-130-D_comp_hex.wav
file_2492.wav,processed_audio/,D:maj,05_Jazz1-130-D_comp_hex.wav
file_3876.wav,processed_audio/,E:maj,01_BN3-154-E_comp_hex.wav
file_3877.wav,processed_audio/,B:maj,01_BN3-154-E_comp_hex.wav
file_3878.wav,processed_audio/,C#:min,01_BN3-154-E_comp_hex.wav
file_3879.wav,processed_audio/,G#:min,01_BN3-154-E_comp_hex.wav
file_3880.wav,processed_audio/,A:maj,01_BN3-154-E_comp_hex.wav
file_3881.wav,processed_audio/,E:maj,01_BN3-154-E_comp_hex.wav
file_3882.wav,processed_audio/,A:maj,01_BN3-154-E_comp_hex.wav
file_3883.wav,processed_audio/,B:maj,01_BN3-154-E_comp_hex.wav
file_3884.wav,processed_audio/,E:maj,01_BN3-154-E_comp_hex.wav
file_3885.wav,processed_audio/,B:maj,01_BN3-154-E_comp_hex.wav
file_3886.wav,processed_audio/,C#:min,01_BN3-154-E_comp_hex.wav
file_3887.wav,processed_audio/,G#:min,01_BN3-154-E_comp_hex.wav
file_3888.wav,processed_audio/,A:maj,01_BN3-154-E_comp_hex.wav
file_3889.wav,processed_audio/,E:maj,01_BN3-154-E_comp_hex.wav
file_3890.wav,processed_audio/,A:maj,01_BN3-154-E_comp_hex.wav
