Filename;Loc;Acorde;Arquivo Original
file_1177.wav;processed_audio/;A#:min;01_SS2-88-F_comp_hex.wav
file_1178.wav;processed_audio/;D#:7;01_SS2-88-F_comp_hex.wav
file_1179.wav;processed_audio/;G#:maj;01_SS2-88-F_comp_hex.wav
file_1180.wav;processed_audio/;C#:maj;01_SS2-88-F_comp_hex.wav
file_1181.wav;processed_audio/;G:hdim7;01_SS2-88-F_comp_hex.wav
file_1182.wav;processed_audio/;C:7;01_SS2-88-F_comp_hex.wav
file_1183.wav;processed_audio/;F:min;01_SS2-88-F_comp_hex.wav
file_1184.wav;processed_audio/;A#:min;01_SS2-88-F_comp_hex.wav
file_1185.wav;processed_audio/;D#:7;01_SS2-88-F_comp_hex.wav
file_1186.wav;processed_audio/;G#:maj;01_SS2-88-F_comp_hex.wav
file_1187.wav;processed_audio/;C#:maj;01_SS2-88-F_comp_hex.wav
file_1188.wav;processed_audio/;G:hdim7;01_SS2-88-F_comp_hex.wav
file_1189.wav;processed_audio/;C:7;01_SS2-88-F_comp_hex.wav
file_1190.wav;processed_audio/;F:min;01_SS2-88-F_comp_hex.wav
file_2109.wav;processed_audio/;D:maj;05_Jazz1-130-D_comp_hex.wav
file_2110.wav;processed_audio/;G:maj;05_Jazz1-130-D_comp_hex.wav
file_2111.wav;processed_audio/;D:maj;05_Jazz1-130-D_comp_hex.wav
file_2112.wav;processed_audio/;A:maj;05_Jazz1-130-D_comp_hex.wav
file_2113.wav;processed_audio/;G:maj;05_Jazz1-130-D_comp_hex.wav
file_2114.wav;processed_audio/;D:maj;05_Jazz1-130-D_comp_hex.wav
file_3349.wav;processed_audio/;E:maj;01_BN3-154-E_comp_hex.wav
file_3350.wav;processed_audio/;B:maj;01_BN3-154-E_comp_hex.wav
file_3351.wav;processed_audio/;C#:min;01_BN3-154-E_comp_hex.wav
file_3352.wav;processed_audio/;G#:min;01_BN3-154-E_comp_hex.wav
file_3353.wav;processed_audio/;A:maj;01_BN3-154-E_comp_hex.wav
file_3354.wav;processed_audio/;E:maj;01_BN3-154-E_comp_hex.wav
file_3355.wav;processed_audio/;A:maj;01_BN3-154-E_comp_hex.wav
file_3356.wav;processed_audio/;B:maj;01_BN3-154-E_comp_hex.wav
file_3357.wav;processed_audio/;E:maj;01_BN3-154-E_comp_hex.wav
file_3358.wav;processed_audio/;B:maj;01_BN3-154-E_comp_hex.wav
file_3359.wav;processed_audio/;C#:min;01_BN3-154-E_comp_hex.wav
file_3360.wav;processed_audio/;G#:min;01_BN3-154-E_comp_hex.wav
file_3361.wav;processed_audio/;A:maj;01_BN3-154-E_comp_hex.wav
file_3362.wav;processed_audio/;E:maj;01_BN3-154-E_comp_hex.wav
file_3363.wav;processed_audio/;A:maj;01_BN3-154-E_comp_hex.wav
file_3364.wav;processed_audio/;B:maj;01_BN3-154-E_comp_hex.wav
file_4805.wav;processed_audio/;B:min;02_Jazz2-187-F#_comp_hex.wav
file_4806.wav;processed_audio/;E:7;02_Jazz2-187-F#_comp_hex.wav
file_4807.wav;processed_audio/;A:maj;02_Jazz2-187-F#_comp_hex.wav
file_4808.wav;processed_audio/;D:maj;02_Jazz2-187-F#_comp_hex.wav
file_4809.wav;processed_audio/;G#:hdim7;02_Jazz2-187-F#_comp_hex.wav
file_4810.wav;processed_audio/;C#:7;02_Jazz2-187-F#_comp_hex.wav
file_4811.wav;processed_audio/;F#:min;02_Jazz2-187-F#_comp_hex.wav
file_4812.wav;processed_audio/;B:min;02_Jazz2-187-F#_comp_hex.wav
file_4813.wav;processed_audio/;E:7;02_Jazz2-187-F#_comp_hex.wav
file_4814.wav;processed_audio/;A:maj;02_Jazz2-187-F#_comp_hex.wav
file_4815.wav;processed_audio/;D:maj;02_Jazz2-187-F#_comp_hex.wav
file_4816.wav;processed_audio/;G#:hdim7;02_Jazz2-187-F#_comp_hex.wav
file_4817.wav;processed_audio/;C#:7;02_Jazz2-187-F#_comp_hex.wav
file_4818.wav;processed_audio/;F#:min;02_Jazz2-187-F#_comp_hex.wav
file_5505.wav;processed_audio/;C#:min;02_BN2-166-Ab_comp_hex.wav
file_5506.wav;processed_audio/;F#:7;02_BN2-166-Ab_comp_hex.wav
file_5507.wav;processed_audio/;B:maj;02_BN2-166-Ab_comp_hex.wav
file_5508.wav;processed_audio/;E:maj;02_BN2-166-Ab_comp_hex.wav
file_5509.wav;processed_audio/;A#:hdim7;02_BN2-166-Ab_comp_hex.wav
file_5510.wav;processed_audio/;D#:7;02_BN2-166-Ab_comp_hex.wav
file_5511.wav;processed_audio/;G#:min;02_BN2-166-Ab_comp_hex.wav
file_5512.wav;processed_audio/;C#:min;02_BN2-166-Ab_comp_hex.wav
file_5513.wav;processed_audio/;F#:7;02_BN2-166-Ab_comp_hex.wav
